Phase,Script Step,Step,Component,Display Text,Display Image,Video Play,Kai Script 1,Kai Script 2,Kai Feedback Script - Correct,Kai Feedback Script - Wrong,Transition Script,Knowledge point
Phase 1 - Mission Intro,1 · MISSION ENTRY — Warm Up,课前欢迎与导入,CMP-01 · 课前寒暄,NA,,,"Welcome back, [User Name]. Last mission, you learnt how to find the right person. 你是 王 老师吗？",,,,"Today, you'll meet friends from different countries.",Word: 朋友
Phase 1 - Mission Intro,1 · MISSION ENTRY — Warm Up,发布 Mission 与学习目标,CMP-04 · Mission发布,"【任务标题】 Meeting Friends from Around the World
[开始按钮] Let's go",,,Ready to meet friends from around the world? START MISSION,,,,START MISSION,Word: 朋友 / 你的 / 中国 / 美国
Phase 1 - Mission Intro,2 · OPENING STORY — Experience First,观看开场故事,CMP-03 · 视频播放,NA,,,"First, watch. Don't try to understand every word.",,,,Who is whose friend?,Word: 哪国 / 美国 / 英国 / 朋友
Phase 1 - Mission Intro,2 · OPENING STORY — Experience First,观后理解检测,CMP-33 · 选择题（传统版）,"[顶标] Quiz
【题目】 How many countries did you hear?
【A】 1
【B】 2
【C】 3
【D】 NA
【答案】 [待补: A|B|C|D]",,,Keep the story in mind. We'll come back to it.,How many did you catch? Tap one.,Good — keep that in mind.,Not yet — listen again for the key words.,We'll come back to it.,Word: 哪国
Phase 2 - Knowledge Discovery,3 · CONTEXT STORY — WHERE ARE YOU FROM?,观看开场故事,CMP-03 · 视频播放,NA,,,"First, watch. Don't try to understand every word.",,,,Who is whose friend?,Word: 哪国 / 美国 / 英国 / 朋友
Phase 2 - Knowledge Discovery,3 · CONTEXT STORY — WHERE ARE YOU FROM?,观后理解检测,CMP-13 · 单项选择,"【焦点】 [待补: 焦点词]
【题目】 How many countries did you hear?
【A】 1
【B】 2
【C】 3
【答案】 [待补: A|B|C|D]",,,Keep the story in mind. We'll come back to it.,How many did you catch? Tap one.,Good — keep that in mind.,Not yet — listen again for the key words.,We'll come back to it.,Word: 哪国
Phase 2 - Knowledge Discovery,4 · CONNECT TO WHAT I KNOW — NAME QUESTION VS COUNTRY QUESTION,对比已学问句,CMP-11 · 句型观察,"[顶标] Pattern
【例句】 [待补: 例句]",,,You already know how to ask someone's name. 你叫什么名字？ Now you can ask where someone is from.,你叫什么名字？,Good — keep that in mind.,Not quite — try once more.,Both help you get to know someone.,Word: 哪国
Phase 2 - Knowledge Discovery,4 · CONNECT TO WHAT I KNOW — NAME QUESTION VS COUNTRY QUESTION,听辨练习：问名字,CMP-02 · 互动选择,"[顶标] Activity 2 · Find Out her Name
【题目】 Listen and choose. Kai asks: 你叫什么名字？
【A】 Name
【B】 Country
【C】 NA
【答案】 [待补: A|B|C|D]",,,Listen and choose. Kai asks: 你叫什么名字？ Name B.,Kai asks: 你叫什么名字？,Good — keep that in mind.,Not yet — listen again for the key words.,Country Student chooses: Name,SocialExpression: classroom rapport
Phase 2 - Knowledge Discovery,4 · CONNECT TO WHAT I KNOW — NAME QUESTION VS COUNTRY QUESTION__2,听辨练习：问国籍,CMP-02 · 互动选择,"[顶标] Activity 2 · Find Out her Name
【题目】 你是哪国人？
【A】 Name
【B】 Country
【C】 NA
【答案】 [待补: A|B|C|D]",,,好！ One question finds out a name. One question finds out where someone is from.,Your turn — try it.,Good — keep that in mind.,Not yet — listen again for the key words.,One question finds out where someone is from.,Word: 哪国
Phase 2 - Knowledge Discovery,5 · DISCOVERY — COUNTRY + 人,情境回放聚焦目标知识点,CMP-03 · 视频播放,NA,,,Listen again — Tom says: 我是英国人。,,,,Freeze. Keep that line in mind.,Word: 中国 / 美国 / 英国
